System PWS ID,System Name,System Primary Source Water Type,Population,Sample Date,County,PFOS (ng/L),PFOA (ng/L),GenX = HFPO-DA (ng/L),PFBS (ng/L),PFNA (ng/L),PFHxS (ng/L),NC0157138,COLD SPRINGS POA,Groundwater,165,8/8/2023,MACON,0.906,ND,ND.1,ND.2,ND.3,ND.4,NC0368118,HILL TOP MHP,84,5/4/2023,ORANGE,1.98,2.55,8.24,11.9,NC0145171,OAK CREST RETIREMENT ESTATES,98,10/26/2023,HENDERSON,3.43,4.71,6.33,1.34,NC0392126,SUMMERFIELD MHP,110,5/11/2023,WAKE,0.257
NC0276449,BRENNAN PLACE MHP,Groundwater,48.0,9/19/2023,RANDOLPH,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0136235,BRENTWOOD MHP,Groundwater,99.0,11/20/2023,GASTON,4.15,4.37,ND,2.6,ND,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC1050040,BRIDGE CREEK,Groundwater,25.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC4092180,BROOK MEADOW S/D,Groundwater,30.0,5/16/2023,WAKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0286158,BROOKDALE S/D,Groundwater,46.0,10/24/2023,SURRY,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0392144,BUFFALOE ROAD MHP,Groundwater,162.0,9/7/2023,WAKE,14.6,15.2,ND,10.7,ND,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0276104,BUSY-B MHP,Groundwater,83.0,9/19/2023,RANDOLPH,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC4092151,CAMBERLY S/D,Groundwater,199.0,5/25/2023,WAKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0392110,CAMELOT MHP,Groundwater,34.0,6/29/2023,WAKE,3.44,11.2,ND,4.25,2.52,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0363554,CAMERON BOYS CAMP,Groundwater,75.0,8/16/2023,MOORE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0184135,CANTON HEIGHTS MHP,Groundwater,132.0,7/27/2023,STANLY,7.62,8.3,ND,5.74,ND,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0326776,CARDINAL CARE OF HOPE MILLS,Groundwater,28.0,8/15/2023,CUMBERLAND,ND,ND,0.181,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150152,CAROL`S CABINS,Groundwater,51.0,8/1/2023,JACKSON,1.14,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0157112,CAROLINA HIGHLANDS RETIRE PARK,Groundwater,45.0,8/1/2023,MACON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150111,CAROLINA VILLAGE APARTMENTS,Groundwater,81.0,8/24/2023,JACKSON,1.77,1.34,ND,ND,ND,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0427103,CAROLINA VILLAGE MHP,Groundwater,305.0,11/15/2023,CURRITUCK,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC3041045,CARRIAGE WAY  S/D,Groundwater,51.0,8/28/2023,GUILFORD,1.57,ND,ND,1.04,ND,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150507,CASHIERS COMM CHILD DEV CENTER,Groundwater,125.0,8/9/2023,JACKSON,1.98,2.12,ND,ND,ND,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0465195,CASTLE CREEK MEMORY CARE,Groundwater,86.0,7/31/2023,NEW HANOVER,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0188133,CATATOGA AT LAKE TOXAWAY,Groundwater,35.0,8/8/2023,TRANSYLVANIA,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150161,CEDAR CREEK WOODS,Groundwater,122.0,8/8/2023,JACKSON,1.54,1.17,ND,0.713,9.55,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0180194,CEDAR GLENN MHP INC,Groundwater,198.0,11/2/2023,ROWAN,0.949,1.67,ND,0.72,ND,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150175,CEDAR HILL,Groundwater,234.0,8/28/2023,JACKSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0464317,CEDAR LAKE MHP,Groundwater,124.0,8/16/2023,NASH,ND,0.827,ND,0.839,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0241105,CEDAR PARK MHP,Groundwater,112.0,8/24/2023,GUILFORD,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150178,CEDAR RIDGE ESTATES,Groundwater,104.0,8/8/2023,JACKSON,ND,ND,ND,0.781,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0319130,CEDAR VILLAGE II,Groundwater,25.0,6/8/2023,CHATHAM,11.6,11.5,ND,6.32,ND,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0156126,CEDARBROOK RESIDENTIAL HOME,Groundwater,80.0,9/6/2023,MCDOWELL,1.26,1.21,ND,1.4,ND,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC7010054,CHADWICK MHP,Groundwater,90.0,8/8/2023,BRUNSWICK,2.6,ND,ND,ND,ND,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0136380,CHAPEL ACRES MHP,Groundwater,231.0,8/29/2023,GASTON,1.05,4.17,ND,5.72,ND,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0136111,CHAPEL GROVE MHP,Groundwater,110.0,8/2/2023,GASTON,1.05,6.47,ND,6.18,ND,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0106123,CHARLES A CANNON MEMORIAL HOSPITAL,Groundwater,320.0,10/19/2023,AVERY,2.5,ND,ND,ND,ND,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0155132,CHARLESTON TRAIL ESTATES,Groundwater,110.0,10/17/2023,LINCOLN,ND,0.88,ND,1.07,ND,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0319120,CHATHAM PINES LLC,Groundwater,98.0,7/11/2023,CHATHAM,5.44,7.47,ND,10,ND,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0150179,CHATTOOGA CLUB,Groundwater,100.0,7/20/2023,JACKSON,1,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0122101,CHATUGE VILLAGE,Groundwater,267.0,8/10/2023,CLAY,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0241647,CHILDRENS CHOICE CHILDCARE,Groundwater,60.0,9/5/2023,GUILFORD,ND,1.48,ND,1.36,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC1050045,CHINQUAPIN DEVELOPMENT,Groundwater,165.0,8/28/2023,JACKSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0431050,CHINQUAPIN WATER ASSOCIATION,Groundwater,4686.0,8/7/2023,DUPLIN,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0111108,CHRISTMOUNT CHRISTIAN ASSEMBLY,Groundwater,250.0,8/30/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0326331,CIRCLE D MHP,Groundwater,91.0,8/16/2023,CUMBERLAND,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0363124,CIRCLE H MHP,Groundwater,68.0,8/15/2023,MOORE,10.4,17.4,0.2,19.2,0.838,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0201165,CIRCLE K PARK,Groundwater,97.0,8/29/2023,ALAMANCE,33.3,75.3,ND,18.2,0.897,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC3041050,CLAPP`S NURSING CTR-APPOMATTOX,Groundwater,265.0,9/5/2023,GUILFORD,3.38,20.2,ND,1.17,3.23,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC1045001,CLEAR CREEK MEADOWS S/D,Groundwater,124.0,8/3/2023,HENDERSON,2.29,3.31,ND,18.9,ND,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0408055,CLEARWATER VALLEY WATER ASSOC,Groundwater,46.0,11/13/2023,BERTIE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0234566,CLEMMONS LEARNING CENTER,Groundwater,75.0,10/24/2023,FORSYTH,2.08,4.53,ND,1.48,ND,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
