"Sample date","Sweeney Finished","Sweeney Raw"
"11/27/2023",,151.4
"11/28/2023",72.87,
"12/04/2023",,139.92
"12/05/2023",60.37,
"12/11/2023",,168.91
"12/12/2023",28.82,
"12/18/2023",,124.66
"12/19/2023",35.5,
"12/28/2023",,60.7
"12/29/2023",20.68,
"01/02/2024",,39.89
"01/03/2024",15.59,
"01/08/2024",,59.32
"01/09/2024",14.75,
"01/16/2024",,32.44
"01/17/2024",17.34,
"01/22/2024",,50.08
"01/23/2024",14.76,
"01/29/2024",,61.55
"01/30/2024",16.22,
"02/05/2024",,47.97
"02/06/2024",18.5,
"02/12/2024",,68.83
"02/13/2024",19.28,
"02/19/2024",,54.49
"02/20/2024",11.9,
"02/26/2024",,71.38
"02/27/2024",12.48,
"03/04/2024",,86.19
"03/05/2024",15.55,
"03/11/2024",,61.13
"03/12/2024",13.37,
"03/18/2024",,57.61
"03/19/2024",10.08,
"03/25/2024",,87.36
"03/26/2024",12.66,
"04/01/2024",,32.36
"04/02/2024",12.14,
"04/08/2024",,64.08
"04/09/2024",11.95,
"04/15/2024",,77.44
"04/16/2024",5.83,
"04/22/2024",,91.03
"04/23/2024",7.03,
"04/29/2024",,99.74
"04/30/2024",8.93,
"05/06/2024",,109.2
"05/07/2024",12.1,
"05/13/2024",,81.44
"05/14/2024",14.46,
"05/20/2024",,57.05
"05/21/2024",13.63,
"05/28/2024",,80.75
"05/29/2024",14.44,
"06/03/2024",,79.93
"06/04/2024",16.45,
"06/10/2024",,96.42
"06/11/2024",21.48,
"06/17/2024",,101.74
"06/18/2024",30.39,
"06/24/2024",,123.4
"06/25/2024",26.47,
"07/01/2024",,115.19
"07/02/2024",28.11,
"07/08/2024",,130.66
"07/09/2024",34.22,
"07/15/2024",,125.35
"07/16/2024",34.1,
"07/22/2024",,91.96
"07/23/2024",29.56,
"07/29/2024",,69.36
"07/30/2024",25.3,
"08/05/2024",,83.56
"08/06/2024",25.61,
"08/09/2024",27.39,86.63
"",0,
"08/10/2024",,88.26
"08/11/2024",,84.55
"08/12/2024",,41.69
"08/13/2024",,38.29
"08/14/2024",,39.95
"08/15/2024",,52.6
"08/19/2024",,80.74
"08/20/2024",23.55,
"08/26/2024",,98.2
"08/27/2024",24.56,
"09/02/2024",,111.69
"09/03/2024",36.24,
"09/09/2024",,73.82
"09/10/2024",35.53,
"09/16/2024",,104.9
"09/17/2024",32.16,
"09/23/2024",,48.96
"09/24/2024",25.68,
"09/30/2024",,46.67
"10/01/2024",22.31,
"10/07/2024",,56.91
"10/08/2024",25.61,
"10/14/2024",,92.54
"10/15/2024",22.83,
"10/21/2024",,112.78
"10/22/2024",29.8,
"10/28/2024",,122.62
"10/29/2024",30.31,
"11/04/2024",,123.06
"11/05/2024",32.91,
"11/11/2024",,134.53
"11/12/2024",33.5,
"11/18/2024",,129.66
"11/19/2024",33.25,
"11/25/2024",,98.88
"11/26/2024",24.16,
"12/02/2024",,103.12
"12/03/2024",21.41,
"12/09/2024",,121.56
"12/10/2024",23.47,
"12/16/2024",,78.95
"12/17/2024",19.55,
"12/23/2024",,90.67
"12/24/2024",15.49,
"12/30/2024",,124.8
"12/31/2024",17.67,
"01/06/2025",,96.84
"01/07/2025",17.99,
"01/13/2025",,78.98
"01/14/2025",16.06,
"01/20/2025",,96.71
"01/21/2025",17.86,
"01/27/2025",,105.17
"01/28/2025",11.81,
"02/03/2025",,106.1
"02/04/2025",12.71,
"02/10/2025",,76.06
"02/11/2025",14.65,
"02/17/2025",,56.66
"02/18/2025",10.14,
"02/24/2025",,46.67
"02/25/2025",12.7,
"03/03/2025",,59.81
"03/04/2025",11.91,
"03/10/2025",,64.61
"03/11/2025",12.81,
"03/17/2025",,63.78
"03/18/2025",16.44,
"03/24/2025",,51.65
"03/25/2025",18.78,
"03/31/2025",,79.2
"04/01/2025",19.7,
"04/07/2025",,90.15
"04/08/2025",17.13,
"04/14/2025",,74.9
"04/15/2025",15.89,
"04/21/2025",,66.59
"04/22/2025",12.27,
"04/28/2025",,91.74
"04/29/2025",16.61,
"05/05/2025",,102.32
"05/06/2025",22.19,
"05/12/2025",,64.73
"05/13/2025",24.74,
"05/19/2025",,60
"05/20/2025",19.83,
"05/26/2025",,82.53
"05/27/2025",18.74,
"06/02/2025",,89.8
"06/03/2025",22.84,
"06/09/2025",,80.22
"06/10/2025",20.66,
"06/16/2025",,34.7
