System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0201403,ALTAMAHAW-OSSIPEE ELEM SCHOOL,GW,669,3/21/2024,ALAMANCE,6.1,3.59,ND,2.6,ND,1.45,2024
NC0201409,B EVERETT JORDAN ELEM SCHOOL,GW,425,3/21/2024,ALAMANCE,4.47,9.53,ND,2.06,ND,2.11,2024
NC0201486,PLEASANT GROVE ELEMENTARY SCHOOL,GW,324,3/21/2024,ALAMANCE,18.2,16.5,ND,1.39,3.25,1.63,2024
NC0201513,SOUTHERN MIDDLE & HIGH SCHOOLS,GW,2172,3/21/2024,ALAMANCE,ND,ND,ND,ND,ND,ND,2024
NC0201520,UFP MID ATLANTIC LLC,GW,210,5/20/2024,ALAMANCE,0.971,1.25,ND,ND,ND,ND,2024
NC0201525,SYLVAN ELEMENTARY SCHOOL,GW,334,3/21/2024,ALAMANCE,ND,1.02,ND,ND,ND,ND,2024
NC0201625,NEW SOUTH INC--POND WELL,GW,101,4/16/2024,ALAMANCE,ND,ND,ND,ND,ND,ND,2024
NC0201629,EDWARDS WOOD PRODUCTS,GW,50,4/16/2024,ALAMANCE,ND,1.31,ND,ND,ND,ND,2024
NC0201631,ANDERSEN ENERGY INC,GW,80,4/16/2024,ALAMANCE,ND,ND,ND,ND,ND,ND,2024
NC0201631,ANDERSEN ENERGY INC,GW,80,4/16/2024,ALAMANCE,ND,ND,ND,ND,ND,ND,2024
NC0217408,STONEY CREEK ELEM SCHOOL,GW,212,4/16/2024,CASWELL,ND,ND,ND,ND,ND,ND,2024
NC0217414,SOUTH ELEMENTARY SCHOOL,GW,354,4/16/2024,CASWELL,6.06,5.56,ND,0.707,ND,1.41,2024
NC0235515,EDWARD BEST MIDDLE SCHOOL,GW,600,3/5/2024,FRANKLIN,ND,ND,ND,ND,ND,ND,2024
NC0235516,LAUREL MILL SCHOOL,GW,340,3/5/2024,FRANKLIN,6.28,9.48,ND,0.91,0.665,2.75,2024
NC0239462,DOT-OXFORD MAINT YARD,GW,60,5/1/2024,GRANVILL,ND,ND,ND,ND,ND,ND,2024
NC0241410,BROWN SUMMIT SCHOOL,GW,263,3/12/2024,GUILFORD,1.38,3.09,ND,2.23,ND,3.47,2024
NC0241525,SUMNER ELEM SCHOOL,GW,591,3/14/2024,GUILFORD,2.31,1.21,ND,0.684,ND,1.09,2024
NC0241527,SUMMERFIELD ELEM SCHOOL,GW,636,3/12/2024,GUILFORD,2.75,2.22,ND,13.7,ND,38.7,2024
NC0241529,SOUTHERN HIGH SCHOOL,GW,1034,3/14/2024,GUILFORD,0.823,ND,ND,ND,ND,ND,2024
NC0241533,PLEASANT GARDEN SCHOOL,GW,524,3/14/2024,GUILFORD,116,17.3,ND,7.48,2.23,35.3,2024
NC0241535,OAK RIDGE ELEM SCHOOL,GW,790,3/12/2024,GUILFORD,7.33,1.94,ND,1.6,ND,5.48,2024
NC0241537,NORTHEAST CONSOLIDATED SCHOOL,GW,2150,3/12/2024,GUILFORD,4.76,3.82,ND,1.14,ND,1.23,2024
NC0241538,NATHANIEL GREENE ELEM SCHOOL,GW,301,3/12/2024,GUILFORD,9.59,2.04,ND,1.01,ND,0.958,2024
NC0241611,MADISON ELEM SCHOOL,GW,215,3/12/2024,GUILFORD,ND,ND,ND,ND,ND,ND,2024
NC0241615,SOUTHERN PRIMARY SCHOOL,GW,330,3/14/2024,GUILFORD,1.59,ND,ND,ND,ND,ND,2024
NC0241687,SUMMERFIELD RENAISSANCE CENTER,GW,25,4/30/2024,GUILFORD,10.1,19.9,ND,6.08,ND,21.3,2024
NC0241695,OAK RIDGE FALLS REALTY,GW,30,5/28/2024,GUILFORD,101,8.54,ND,11.1,ND,124,2024
NC0273407,OAK LANE ELEM SCHOOL,GW,248,5/20/2024,PERSON,ND,ND,ND,ND,ND,ND,2024
NC0273431,WOODLAND ELEM SCHOOL,GW,300,5/20/2024,PERSON,1.24,4.25,ND,1.58,ND,1.9,2024
NC0273433,NORTHEND SCHOOL,GW,202,5/20/2024,PERSON,9.65,5.06,ND,1.45,ND,2.32,2024
NC0276435,BRAXTON CULLER,GW,124,5/9/2024,RANDOLP,ND,ND,ND,ND,ND,ND,2024
NC0276506,GRAPHIC PACKAGING INTL,GW,3,5/9/2024,RANDOLP,ND,ND,ND,ND,ND,ND,2024
NC0276550,SAPONA YARNS LLC,GW,175,5/9/2024,RANDOLP,7.34,1.35,ND,1.64,ND,1.62,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/11/2024,RANDOLP,2.02,6.82,ND,3.39,ND,3.1,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/11/2024,RANDOLP,2660,3690,0.34,258,39.5,431,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/11/2024,RANDOLP,563,761,0.194,157,22,232,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/11/2024,RANDOLP,575,848,ND,152,21.1,238,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/27/2024,RANDOLP,576,935,ND,179,23.8,286,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/27/2024,RANDOLP,2.22,8.12,ND,4.27,ND,3.16,2024
NC0276631,FARMER ELEMENTARY SCHOOL,GW,351,6/27/2024,RANDOLP,1120,1600,0.303,319,42.5,595,2024
NC0276637,WAYNE TRADEMARK,GW,79,5/9/2024,RANDOLP,1330,1430,0.19,137,31,585,2024
NC0276637,WAYNE TRADEMARK,GW,79,6/11/2024,RANDOLP,1310,1350,ND,149,28.2,552,2024
NC0276637,WAYNE TRADEMARK,GW,79,6/11/2024,RANDOLP,1310,1350,0.245,144,30.7,499,2024
NC0276659,NORTHEASTERN RANDOLPH MID SCH,GW,629,6/27/2024,RANDOLP,2.05,1.73,ND,0.795,ND,0.64,2024
