System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year,Source Water Type,Population,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L
HUNTINGTON WOODS MHP,GUILFORD,NC0241111,,,,8/24/2023,,ND,2.95,2.94,2023,Groundwater,175.0,12.6,ND,2.64
"IMAGINATION STATION ACADEMY, LLC",VANCE,NC0291514,,,,8/30/2023,,ND,6.68,ND,2023,Groundwater,35.0,5.97,ND,1.42
INDIAN LAKES ESTATE S/D,TRANSYLVANIA,NC0188128,,,,9/12/2023,,0.276,ND,ND,2023,Groundwater,75.0,ND,ND,ND
INGLES SUPERMARKET  NO 110,JACKSON,NC0150501,,,,8/9/2023,,ND,1.19,1.67,2023,Groundwater,66.0,ND,0.929,ND
IREDELL WATER CORPORATION,IREDELL,NC0149025,,,,7/25/2023,,ND,ND,ND,2023,Surface Water Purchase,24733.0,ND,ND,ND
J C CAMPBELL FOLK SCHOOL,CHEROKEE,NC0120410,,,,9/20/2023,,ND,ND,ND,2023,Groundwater,97.0,ND,ND,ND
JACKSON HEIGHTS MHP,LENOIR,NC0454127,,,,9/19/2023,,ND,ND,ND,2023,Groundwater,107.0,ND,ND,ND
JACKSON MANOR S/D,WAKE,NC4092146,,,,5/25/2023,,ND,ND,ND,2023,Groundwater,175.0,ND,ND,ND
JACOB`S CRK NURSING AND REHAB CENTER,ROCKINGHAM,NC0279410,,,,9/21/2023,,ND,ND,ND,2023,Groundwater,235.0,7.48,ND,ND
JASON WATER CORPORATION,GREENE,NC0440022,,,,9/6/2023,,ND,ND,ND,2023,Groundwater,331.0,ND,ND,ND
JAY MAR TRAILER PARK,HENDERSON,NC0145161,,,,8/3/2023,,ND,ND,ND,2023,Groundwater,50.0,ND,ND,ND
JCH MHP LLC,WAKE,NC0392195,,,,7/13/2023,,ND,ND,ND,2023,Groundwater,50.0,ND,ND,ND
JEFFERSON LANDING,ASHE,NC0105108,,,,8/8/2023,,ND,ND,ND,2023,Groundwater,653.0,ND,ND,ND
JEFFREYS MHP  NO 2,WAKE,NC0392180,,,,6/29/2023,,ND,ND,ND,2023,Groundwater,115.0,ND,ND,ND
JETER MOUNTAIN MHP,HENDERSON,NC1045034,,,,8/17/2023,,ND,8.85,1.93,2023,Groundwater,54.0,3.78,ND,2.64
JONAS RIDGE REST HOME,BURKE,NC0112149,,,,10/5/2023,,ND,1.4,7.54,2023,Groundwater,80.0,0.839,0.714,0.662
KANATA MILLS S/D,WAKE,NC4092145,,,,5/25/2023,,ND,ND,ND,2023,Groundwater,233.0,ND,ND,ND
KENSINGTON PLACE S/D,GUILFORD,NC3041085,,,,8/28/2023,,ND,ND,ND,2023,Groundwater,61.0,ND,ND,ND
KIDDIE UNIVERSITY,WAKE,NC4392409,,,,8/7/2023,,0.446,1.51,1.8,2023,Groundwater,54.0,1.7,ND,1.04
KIDS ZONE DAYCARE,FRANKLIN,NC0235521,,,,6/12/2023,,ND,9.24,12.6,2023,Groundwater,63.0,1.77,ND,1.61
KING MOUNTAIN CLUB WATER,MACON,NC0157117,,,,9/13/2023,,ND,ND,ND,2023,Surface Water,150.0,ND,ND,ND
KINGS LANDING S/D,IREDELL,NC0149184,,,,7/25/2023,,ND,5.87,1.85,2023,Groundwater,142.0,1.92,ND,1.72
KINGSTON MANOR S/D,WAKE,NC4092133,,,,5/25/2023,,ND,ND,ND,2023,Groundwater,88.0,ND,ND,ND
KIRBY`S MHP,ALAMANCE,NC0201118,,,,11/2/2023,,ND,3.59,2.18,2023,Groundwater,60.0,ND,ND,1.01
KNIGHT`S LANDING S/D,GUILFORD,NC3041101,,,,8/28/2023,,ND,1.6,3.41,2023,Groundwater,107.0,4.05,ND,0.975
KNIGHTDALE ESTATES MHP,WAKE,NC0392214,,,,6/13/2023,,ND,4.7,46.7,2023,Groundwater,285.0,5.62,ND,49
KNOLL RIDGE MHP,HENDERSON,NC0145151,,,,8/17/2023,,ND,ND,ND,2023,Groundwater,75.0,ND,ND,ND
KOOL PARK MHP,CATAWBA,NC0118108,,,,9/27/2023,,ND,1.43,1.37,2023,Groundwater,70.0,ND,ND,0.959
LAKE HICKORY RV RESORT,CATAWBA,NC0118467,,,,9/27/2023,,ND,11.2,8.64,2023,Groundwater,200.0,0.874,ND,1.96
LAKE JAMES LODGE ASSISTED LIVI,MCDOWELL,NC0156107,,,,10/5/2023,,ND,ND,ND,2023,Groundwater,80.0,ND,ND,1.25
LAKE LURE VILLAGE RESORT,RUTHERFORD,NC0181138,,,,11/3/2023,,ND,1.01,ND,2023,Groundwater,206.0,1.69,ND,ND
LAKE ROAD MHP,CARTERET,NC0416205,,,,8/1/2023,,ND,ND,ND,2023,Groundwater,40.0,ND,ND,ND
LAKE SHEILA WATER SYSTEM,HENDERSON,NC0145129,,,,8/30/2023,,ND,ND,ND,2023,Groundwater,98.0,ND,ND,ND
LAKESIDE ESTATES,WAKE,NC0392150,,,,7/13/2023,,ND,ND,1.11,2023,Groundwater,61.0,ND,ND,ND
